match,user_tip,algo_tip,actual_score,points_earned,status,match_id
Algeria vs Austria,1:1,0:1,3:3,8,completed,8756200e539155e571557c4f2e0d7f05
Argentina vs Cape Verde,3:0,2:0,3:2,12,completed,3e161b2448ed76d6b0c0f5bda6fd5bf2
Australia vs Egypt,1:1,0:1,1:1,20,completed,fb270a3dac2b682c861bd674a5ff4a04
Australia vs Turkey,1:2,0:1,2:0,0,completed,564084f52cc9f1abcc18187c168a7cdc
Austria vs Jordan,2:0,2:0,3:1,8,completed,25161cf6cf0cd9be17ae2e7e224a1f45
Belgium vs Senegal,1:2,2:1,3:2,2,completed,760493
Bosnia & Herzegovina vs Qatar,2:1,1:0,3:1,6,completed,512ac18beb5aa936a59f7ea3e497ada2
Brazil vs Japan,1:2,2:1,2:1,0,completed,4f3d72fba877939d36a5315618184093
Canada vs Bosnia & Herzegovina,2:1,4:3,1:1,1,completed,760416
Canada vs Qatar,1:1,2:0,6:0,0,completed,fa9502285b257b03e62968d50d9229fc
Cape Verde vs Saudi Arabia,1:1,1:1,0:0,8,completed,e07b1926be5a4d515c7eb108dbcee9c5
Colombia vs DR Congo,2:0,2:0,1:0,6,completed,68bfc965eb267508e04d8e8d75c1a0ae
Colombia vs Ghana,2:0,2:0,1:0,12,completed,88e032a2b2e5042d26db3f0da1df924a
Colombia vs 🇵🇹 Portugal,2:1,0:1,0:0,0,completed,67ae5751c401a98409b8566ae4897069
Croatia vs Ghana,2:1,1:0,2:1,10,completed,537c0997cd899394f47f16545b7068b2
Curaçao vs 🇨🇮 Ivory Coast,1:3,0:2,0:2,8,completed,a5a0b544a984ab16e564264f3e859b43
DR Congo vs Uzbekistan,2:1,1:1,3:1,6,completed,13eab94a136b9c264ba974cf437a5f71
Ecuador vs Curaçao,3:0,2:0,0:0,1,completed,681895f294b670b4c7b14495dfb583bc
Ecuador vs 🇩🇪 Germany,1:2,0:1,2:1,0,completed,0ec28b84ec399bd4dffbe8d1bc72b3c4
Egypt vs 🇮🇷 Iran,1:1,1:1,1:1,10,completed,3e3b5fa2b3c963e74cf044c60db0b573
England vs DR Congo,0:0,2:0,2:1,0,completed,760495
France vs Sweden,3:1,3:1,3:0,12,completed,0b5491529142c9bcc3f88bf45ccb0a7b
Germany vs Paraguay,2:1,3:1,1:1,2,completed,4930db8e83436874d09e59bd0e29c1a5
Ghana vs Panama,2:1,1:0,1:0,8,completed,87afdb85c977b451e1c00f5e3e632601
Haiti vs Scotland,0:2,0:1,0:1,6,completed,5ae41a06735c926eeb7f74006933adce
