team_code,team_name,elo_rating
FRA,France,2184.3116687926254
ESP,Spain,2072.750476820932
ENG,England,2132.1893628525113
COL,Colombia,2080.846841366925
ARG,Argentina,2213.5937796963867
POR,Portugal,1991.4177923391928
BRA,Brazil,2039.3280459371922
NED,Netherlands,2083.9195086306336
GER,Germany,2037.2808630392826
CRO,Croatia,1929.865966451104
BEL,Belgium,1926.1843136072096
USA,United States,1904.4733447086523
MAR,Morocco,1990.9984315707534
MEX,Mexico,1979.5235284023079
URU,Uruguay,1868.0303437236196
NOR,Norway,1918.826623540031
ECU,Ecuador,1815.9921366475864
JPN,Japan,1996.9769149279205
SUI,Switzerland,1954.6423114607378
KOR,South Korea,1801.266259043101
TUR,Türkiye,1786.7696866830802
CAN,Canada,1842.279785347898
SEN,Senegal,1812.8078711911414
AUT,Austria,1863.5192868071267
SWE,Sweden,1843.634697968382
PAR,Paraguay,1815.863112310799
SCO,Scotland,1756.0866890925047
GHA,Ghana,1799.46472396028
CZE,Czech Republic,1695.103983261538
IRN,Iran,1812.1805689758442
KSA,Saudi Arabia,1726.083632856287
BIH,Bosnia and Herzegovina,1677.2497297726773
ALG,Algeria,1780.5205947473844
EGY,Egypt,1859.222525836764
CIV,Ivory Coast,1867.77732250897
AUS,Australia,1812.893856297469
JOR,Jordan,1552.3663387491026
TUN,Tunisia,1565.4688784730643
COD,DR Congo,1736.299376918781
UZB,Uzbekistan,1601.4359893751005
QAT,Qatar,1605.8281734186862
IRQ,Iraq,1554.0538364762015
NZL,New Zealand,1582.4125915801826
CPV,Cape Verde,1753.1355465991608
RSA,South Africa,1704.1062292930535
PAN,Panama,1618.4799467361051
CUW,Curaçao,1568.949677804161
HAI,Haiti,1453.5868333995497
